SCHOOL NAME,COUNTY,ENROLLED,IMMUNE_MMR
A J MITCHELL ELEMENTARY SCHOOL,SANTA CRUZ,42,0.976
ABIA JUDD ELEMENTARY SCHOOL,YAVAPAI,83,0.735
ABRAHAM LINCOLN TRADITIONAL SCHOOL,MARICOPA,69,0.942
ACACIA ELEMENTARY SCHOOL - PHOENIX,MARICOPA,105,0.914
ACACIA ELEMENTARY SCHOOL - VAIL,PIMA,123,0.959
ACADEMY OF MATH AND SCIENCE - DESERT SKY,MARICOPA,122,0.992
ACADEMY OF MATH AND SCIENCE - PRINCE RD,PIMA,51,0.922
ACADEMY OF MATH AND SCIENCE AVONDALE,MARICOPA,123,0.911
ACADEMY OF MATH AND SCIENCE CAMELBACK,MARICOPA,173,0.902
ACADEMY OF MATH AND SCIENCE GLENDALE,MARICOPA,148,0.845
ACADEMY OF MATH AND SCIENCE PEORIA ADVANCED,MARICOPA,152,0.901
ACADEMY OF MATH AND SCIENCE SOUTH MOUNTAIN,MARICOPA,118,0.932
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH,MARICOPA,81,0.938
ACCLAIM ACADEMY,MARICOPA,27,1.0
ACORN MONTESSORI CHARTER SCHOOL - WEST,YAVAPAI,74,0.73
ADAMS ELEMENTARY SCHOOL,MARICOPA,95,0.968
ADAMS TRADITIONAL ACADEMY,MARICOPA,95,0.884
ADVENTURE SCHOOL - E PLACITA SIN NOMBRE,PIMA,23,1.0
AGUA CALIENTE SCHOOL,PIMA,51,0.961
AGUILAR SCHOOL,MARICOPA,52,0.904
AJO ELEMENTARY SCHOOL,PIMA,23,0.913
AKIMEL O''OTHAM PEE POSH,PINAL,49,1.0
ALHAMBRA TRADITIONAL SCHOOL,MARICOPA,69,0.957
ALICE BYRNE ELEMENTARY SCHOOL,YUMA,39,0.923
ALL SAINTS EPISCOPAL DAY SCHOOL,MARICOPA,50,0.86
ALTA E BUTLER SCHOOL,MARICOPA,88,0.955
ALTA LOMA SCHOOL,MARICOPA,58,0.948
ALTA VISTA ELEMENTARY SCHOOL,MARICOPA,80,0.975
AMBERLEA ELEMENTARY SCHOOL,MARICOPA,35,0.943
AMERICAN LEADERSHIP ACADEMY - GILBERT,MARICOPA,76,0.789
AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,PINAL,63,0.921
AMERICAN LEADERSHIP ACADEMY - MESA,MARICOPA,63,0.746
AMERICAN LEADERSHIP ACADEMY - MESA NORTH K-12,MARICOPA,82,0.732
AMERICAN LEADERSHIP ACADEMY - QUEEN CREEK,MARICOPA,81,0.728
AMERICAN LEADERSHIP ACADEMY - SAN TAN,MARICOPA,84,0.714
AMERICAN LEADERSHIP ACADEMY - SIERRA VISTA K-12,COCHISE,52,0.846
AMERICAN LEADERSHIP ACADEMY ANTHEM SOUTH CAMPUS,PINAL,79,0.886
AMERICAN LEADERSHIP ACADEMY WEST FOOTHILLS EL,MARICOPA,101,0.733
AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,MARICOPA,97,0.753
AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,MARICOPA,75,0.667
AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,MARICOPA,79,0.684
AMERISCHOOLS ACADEMY - YUMA NORTH CAMPUS,YUMA,40,0.95
ANASAZI ELEMENTARY,MARICOPA,56,0.893
ANNA HENRY ELEMENTARY SCHOOL,PIMA,42,0.952
ANNA MARIE JACOBSON ELEMENTARY SCHOOL,MARICOPA,76,0.882
ANNIE KELLOND ELEMENTARY SCHOOL,PIMA,50,1.0
ANTHEM K-8 SCHOOL,PINAL,60,0.933
ANZA TRAIL ELEMENTARY,PIMA,85,0.953
APACHE ELEMENTARY SCHOOL,MARICOPA,67,0.806
ARCHWAY CLASSICAL ACADEMY - CHANDLER,MARICOPA,89,0.831
ARCHWAY CLASSICAL ACADEMY - SCOTTSDALE,MARICOPA,187,0.861
ARCHWAY CLASSICAL ACADEMY GLENDALE,MARICOPA,91,0.78
ARIZONA AUTISM CHARTER SCHOOL,MARICOPA,56,0.857
ARIZONA CHARTER ACADEMY,MARICOPA,126,0.873
ARIZONA CITY ELEMENTARY SCHOOL,PINAL,82,0.878
ARIZONA CONNECTIONS ACADEMY,MARICOPA,67,0.716
ARIZONA CULTURAL ACADEMY,MARICOPA,25,0.84
ARIZONA DESERT ELEMENTARY SCHOOL - SAN LUIS,YUMA,64,0.984
ARIZONA DESERT ELEMENTARY SCHOOL - TOLLESON,MARICOPA,102,0.931
ARLINGTON ELEMENTARY SCHOOL,MARICOPA,26,0.731
ARREDONDO ELEMENTARY SCHOOL,MARICOPA,65,0.938
ARROWHEAD CHRISTIAN ACADEMY,MARICOPA,23,0.652
ARROWHEAD ELEMENTARY SCHOOL-85308,MARICOPA,68,0.971
ARROYO SCHOOL,MARICOPA,34,0.912
ARTS ACADEMY AT ESTRELLA MOUNTAIN,MARICOPA,67,0.97
ASANTE PREPARATORY ACADEMY,MARICOPA,122,0.926
ASHLAND ELEMENTARY,MARICOPA,74,0.892
ASU PREP DIGITAL,MARICOPA,90,0.833
ASU PREP PILGRIM'S REST,MARICOPA,22,0.773
ASU PREPARATORY ACADEMY - PHOENIX MIDDLE SCHOOL,MARICOPA,76,0.868
ASU PREPARATORY ACADEMY - POLYTECHNIC ELEMENTARY SCHOOL,MARICOPA,86,0.919
ASU PREPARATORY ACADEMY - SOUTH PHOENIX PRIMARY,MARICOPA,23,0.913
AUDREY & ROBERT RYAN ELEMENTARY,MARICOPA,47,0.957
AUGUSTA RANCH ELEMENTARY,MARICOPA,90,0.889
AUGUSTUS H SHAW JR SCHOOL,MARICOPA,46,0.957
AVALON ELEMENTARY,PINAL,40,0.925
LATTIE COOR SCHOOL,MARICOPA,114,0.921
AWAKENING SEED SCHOOL,MARICOPA,20,1.0
AZ COMPASS PREPARATORY SCHOOL,MARICOPA,20,0.8
BAGDAD ELEMENTARY SCHOOL,YAVAPAI,36,0.861
BALES ELEMENTARY SCHOOL,MARICOPA,65,0.938
BARBARA B ROBEY ELEMENTARY - 85340,MARICOPA,106,0.915
BARBARA BUSH ELEMENTARY SCHOOL - 85205,MARICOPA,66,0.97
BARCELONA ELEMENTARY SCHOOL,MARICOPA,96,0.969
BASHA ELEMENTARY,MARICOPA,72,0.903
BASIS - FLAGSTAFF,COCONINO,55,0.909
BASIS - MESA,MARICOPA,68,0.926
BASIS - ORO VALLEY PRIMARY,PIMA,80,0.988
BASIS - PEORIA PRIMARY,MARICOPA,134,0.955
BASIS - PHOENIX PRIMARY,MARICOPA,108,0.907
BASIS - SCOTTSDALE PRIMARY WEST CAMPUS,MARICOPA,92,0.946
BASIS - TUCSON MIDDLE SCHOOL,PIMA,149,0.973
BASIS CHANDLER PRIMARY NORTH CAMPUS,MARICOPA,107,0.907
BASIS CHANDLER PRIMARY SOUTH CAMPUS,MARICOPA,95,0.979
BASIS GOODYEAR,MARICOPA,93,0.849
BASIS PHOENIX CENTRAL PRIMARY,MARICOPA,30,0.933
BASIS PHOENIX NORTH,MARICOPA,42,0.881
BASIS PHOENIX SOUTH PRIMARY SCHOOL,MARICOPA,55,0.836
BASIS PRESCOTT,YAVAPAI,64,0.828
BASIS SCOTTSDALE PRIMARY,MARICOPA,67,0.955
BAYER PRIVATE SCHOOL,MARICOPA,38,0.921
BEAVER CREEK SCHOOL,YAVAPAI,42,0.786
BELEN SOTO ELEMENTARY SCHOOL,MARICOPA,94,0.904
BELLA VISTA ELEMENTARY SCHOOL,COCHISE,27,1.0
BELLAIR ELEMENTARY SCHOOL,MARICOPA,25,0.84
BENCHMARK SCHOOL,MARICOPA,30,0.667
BENJAMIN FRANKLIN CHARTER SCHOOL - CRIMSON,MARICOPA,126,0.754
BENJAMIN FRANKLIN CHARTER SCHOOL - GILBERT,MARICOPA,99,0.758
