County,Notes,Date_of_Exposure,Timeframe,Location_Name,Address,City,State,Zip_Code,Guidance,Reported_By,Source,Location_Type,Monitor_for_Symptoms_Until,column14,column15,ObjectId,Status,Score,Match_addr,Addr_type,geometry,OBJECTID
Saline,"The Arkansas Department of Health (ADH) is reporting a confirmed pediatric measles case in an
unvaccinated Arkansas resident from Saline County. The individual who tested positive was
exposed during out of state travel. As of April 10, 2025, this is the only measles case in Arkansas
since 2018.",2025-04-08T04:00:00Z,10:30am–1:30pm,Benton Family Clinic,819 W Carpenter St,Benton,AR,72015,"Anyone at those locations during those days and times may have been exposed to measles and
should monitor for symptoms for 21 days after exposure. If you were at one of these locations
during the listed dates and times and develop symptoms, immediately contact your health care
provider by phone and state that you were potentially exposed to measles and are now
experiencing symptoms. The healthcare provider will need to immediately contact ADH at 1-866-
940-7568.

People who received the MMR vaccine or were born before 1957 are generally considered immune.
For more information please visit Measles (Rubeola) – Arkansas Department of Health or call 1-
866-940-7568 between 8 a.m. and 6 p.m.",Arkansas Department of Health,https://healthy.arkansas.gov/programs-services/diseases-conditions/communicable-diseases/measles-rubeola/arkansas-measles-exposure-locations/?utm_source=substack&utm_medium=email,Healthcare Facility,2025-04-29T04:00:00Z,NA,NA,1,M,100,"819 W Carpenter St, Benton, Arkansas, 72015",PointAddress,"c(-10306953.6185, 4105757.9482)",1
Williamson,"In the wake of a confirmed case of measles in Southern Illinois, the Illinois Department of Public Health (IDPH) is releasing additional information about potential exposures to inform the public about what steps they should take.",2025-04-07T04:00:00Z,Not specified,Wonder Wash Laundry,804 N Court St,Marion,IL,62959,"Anyone who visited those locations during that time frame should be monitoring themselves for 21 days from the day they were potentially exposed for symptoms of measles, such as fever, cough, runny nose, pink-eye (conjunctivitis) and a rash that starts around the head/face and spreads through the rest of the body. The chances of infection are minimal for those who are immune to measles either from vaccination or prior infection. If anyone exposed starts exhibiting measles symptoms, they should notify their medical provider. If someone with measles symptoms needs to be seen in person by a health care professional, they should notify their provider or health facility in advance so appropriate precautions can be taken to avoid additional exposures or spread of the illness.

Health care providers are reminded to immediately contact their local health department to report any suspected cases of measles; the health department can assist providers with arranging for testing and additional steps as needed.

IDPH also reminds the general public to check on their vaccination status to make sure you are fully protected from measles. If you are not fully immune, but are eligible to get vaccinated, you should contact your provider or local health department to make arrangements to do so. Immunization remains the best protection against serious illness from measles and other communicable diseases.",Illinois Department of Public Health,https://dph.illinois.gov/resource-center/news/2025/april/release-20250424.html,Laundry Facility,2025-04-28T04:00:00Z,NA,NA,2,M,100,"804 N Court St, Marion, Illinois, 62959",PointAddress,"c(-9899988.6317, 4542234.1984)",2
Valencia,The New Mexico Department of Health (NMDOH) reports a Texas traveler visited Guadalupe and Valencia Counties while infectious with measles – creating potential for measles exposure on the following days and locations:,2025-03-10T04:00:00Z,8:00am–12:30pm,Our Lady of Guadalupe Catholic Church,3674 NM-47,Peralta,NM,87042,"If you are unvaccinated against measles or are unsure of your vaccination status and visited any of the reported locations during the specified dates and times:


Check your vaccination status and get caught up on any missing doses.  
Monitor yourself for symptoms, which can start with cough, runny nose, and eye redness, then progress to fever and rash. The rash starts on the head and spreads down the body.    
If you develop symptoms, isolate and contact your healthcare provider to arrange measles testing or the NMDOH Helpline at 1-833-SWNURSE (1-833-796-8773). The Helpline is staffed by nurses able to provide guidance in English and in Spanish related to measles, testing and vaccination questions. 
The measles outbreak in New Mexico, currently at 38 cases, remains confined to Lea and Eddy Counties. Residents of these areas should prepare for continued exposure to measles as long as the virus circulates within their communities.


For additional information about measles, symptoms, vaccination safety and case numbers, visit http://measles.doh.nm.gov.",New Mexico Public Health Division,https://www.nmhealth.org/news/awareness/2025/3/?view=2193,Church,2025-03-31T04:00:00Z,NA,NA,3,M,100,"3674 State Highway 47, Peralta, New Mexico, 87042",PointAddress,"c(-11876871.7227, 4141820.5921)",3
Finney,"The Arkansas Department of Health (ADH) is reporting a confirmed pediatric measles case in an
unvaccinated Arkansas resident from Saline County. The individual who tested positive was
exposed during out of state travel. As of April 10, 2025, this is the only measles case in Arkansas
since 2018.",2025-04-08T04:00:00Z,7:00am–6:00pm,Clarion Inn Hotel,1911 E Kansas Ave,Garden City,KS,67846,"Anyone at those locations during those days and times may have been exposed to measles and
should monitor for symptoms for 21 days after exposure. If you were at one of these locations
during the listed dates and times and develop symptoms, immediately contact your health care
provider by phone and state that you were potentially exposed to measles and are now
experiencing symptoms. The healthcare provider will need to immediately contact ADH at 1-866-
940-7568.

People who received the MMR vaccine or were born before 1957 are generally considered immune.
For more information please visit Measles (Rubeola) – Arkansas Department of Health or call 1-
866-940-7568 between 8 a.m. and 6 p.m.",Local News,https://www.kshb.com/news/local-news/kdhe-investigating-potential-measles-exposure-at-clarion-inn-hotel-in-garden-city-kansas?utm_source=substack&utm_medium=email,Hotel,2025-04-29T04:00:00Z,NA,NA,4,M,100,"1911 E Kansas Ave, Garden City, Kansas, 67846",PointAddress,"c(-11226429.7199, 4576054.4716)",4
Williamson,"In the wake of a confirmed case of measles in Southern Illinois, the Illinois Department of Public Health (IDPH) is releasing additional information about potential exposures to inform the public about what steps they should take.",2025-04-08T04:00:00Z,Not specified,Wonder Wash Laundry,804 N Court St,Marion,IL,62959,"Anyone who visited those locations during that time frame should be monitoring themselves for 21 days from the day they were potentially exposed for symptoms of measles, such as fever, cough, runny nose, pink-eye (conjunctivitis) and a rash that starts around the head/face and spreads through the rest of the body. The chances of infection are minimal for those who are immune to measles either from vaccination or prior infection. If anyone exposed starts exhibiting measles symptoms, they should notify their medical provider. If someone with measles symptoms needs to be seen in person by a health care professional, they should notify their provider or health facility in advance so appropriate precautions can be taken to avoid additional exposures or spread of the illness.

Health care providers are reminded to immediately contact their local health department to report any suspected cases of measles; the health department can assist providers with arranging for testing and additional steps as needed.

IDPH also reminds the general public to check on their vaccination status to make sure you are fully protected from measles. If you are not fully immune, but are eligible to get vaccinated, you should contact your provider or local health department to make arrangements to do so. Immunization remains the best protection against serious illness from measles and other communicable diseases.",Illinois Department of Public Health,https://dph.illinois.gov/resource-center/news/2025/april/release-20250424.html,Laundry Facility,2025-04-29T04:00:00Z,NA,NA,5,M,100,"804 N Court St, Marion, Illinois, 62959",PointAddress,"c(-9899988.6317, 4542234.1984)",5
Finney,"The Arkansas Department of Health (ADH) is reporting a confirmed pediatric measles case in an
unvaccinated Arkansas resident from Saline County. The individual who tested positive was
exposed during out of state travel. As of April 10, 2025, this is the only measles case in Arkansas
since 2018.",2025-04-09T04:00:00Z,7:00am–6:00pm,Clarion Inn Hotel,1911 E Kansas Ave,Garden City,KS,67846,"Anyone at those locations during those days and times may have been exposed to measles and
should monitor for symptoms for 21 days after exposure. If you were at one of these locations
during the listed dates and times and develop symptoms, immediately contact your health care
provider by phone and state that you were potentially exposed to measles and are now
experiencing symptoms. The healthcare provider will need to immediately contact ADH at 1-866-
940-7568.

People who received the MMR vaccine or were born before 1957 are generally considered immune.
For more information please visit Measles (Rubeola) – Arkansas Department of Health or call 1-
866-940-7568 between 8 a.m. and 6 p.m.",Local News,https://www.kshb.com/news/local-news/kdhe-investigating-potential-measles-exposure-at-clarion-inn-hotel-in-garden-city-kansas?utm_source=substack&utm_medium=email,Hotel,2025-04-30T04:00:00Z,NA,NA,6,M,100,"1911 E Kansas Ave, Garden City, Kansas, 67846",PointAddress,"c(-11226429.7199, 4576054.4716)",6
Finney,"The Arkansas Department of Health (ADH) is reporting a confirmed pediatric measles case in an
unvaccinated Arkansas resident from Saline County. The individual who tested positive was
exposed during out of state travel. As of April 10, 2025, this is the only measles case in Arkansas
since 2018.",2025-04-10T04:00:00Z,7:00am–7:00pm,Clarion Inn Hotel,1911 E Kansas Ave,Garden City,KS,67846,"Anyone at those locations during those days and times may have been exposed to measles and
should monitor for symptoms for 21 days after exposure. If you were at one of these locations
during the listed dates and times and develop symptoms, immediately contact your health care
provider by phone and state that you were potentially exposed to measles and are now
experiencing symptoms. The healthcare provider will need to immediately contact ADH at 1-866-
940-7568.

People who received the MMR vaccine or were born before 1957 are generally considered immune.
For more information please visit Measles (Rubeola) – Arkansas Department of Health or call 1-
866-940-7568 between 8 a.m. and 6 p.m.",Local News,https://www.kshb.com/news/local-news/kdhe-investigating-potential-measles-exposure-at-clarion-inn-hotel-in-garden-city-kansas?utm_source=substack&utm_medium=email,Hotel,2025-05-01T04:00:00Z,NA,NA,7,M,100,"1911 E Kansas Ave, Garden City, Kansas, 67846",PointAddress,"c(-11226429.7199, 4576054.4716)",7
Gallatin,The times listed include the period of exposure and two hours after (measles can stay in the air for up to 2 hours after the infected person leaves the area).,2025-04-14T04:00:00Z,12:00pm–4:00pm,Interwest Tire,6460 Jackrabbit Lane,Belgrade,MT,59714," If you were at a location at any time during the times listed and have not been contacted by the health department, please call us at 406-582-3100. 
You are considered immune to measles if:
You received TWO doses of measles-containing vaccine, and you are:
A school-aged child (grades K-12)
An adult who will be in a setting that poses a high-risk for measles transmission, including students at post-high school education institutions, healthcare personnel and international travelers.
You received ONE dose of measles-containing vaccine, and you are:
A preschool-aged child
An adult who will not be in a high-risk setting for measles transmission
A laboratory confirmation that you had measles at some point in your life.
A laboratory confirmation that you are immune to measles.
You were born before 1957.
From the time someone is exposed, it typically takes 11–12 days for the first measles symptoms to appear, with a range of 7-21 days. After initial symptoms, a rash follows 2–4 days later and usually lasts 5–6 days. Measles is infectious 4 days before and 4 days after rash onset.

For information on the vaccine and how you can find out if you are immunized, scroll down to our FAQ. Call us to get a measles vaccine! 406-582-3100",Healthy Gallatin,https://www.healthygallatin.org/community-health/communicable-diseases/measles/?utm_source=substack&utm_medium=email,Auto Service Center,2025-05-05T04:00:00Z,NA,NA,8,M,100,"6460 Jackrabbit Lane, Belgrade, Montana, 59714",PointAddress,"c(-12376854.1534, 5742627.465)",8
Oklahoma County,"Exposures reported during the week of March 30 – April 5, 2025",2025-03-23T04:00:00Z,6:15 p.m. - 10:00 p.m,"Oklahoma Children's Hospital OU Health (main entrance atrium, atrium elevators to the lower level, and emergency department)
",1200 Children's Ave.,Oklahoma City,OK,73104,"If you visited the location listed within the date and timeframe and are unvaccinated, unsure of vaccine or immune status, or have concerns, you are encouraged to provide your name and contact information on this form, and someone from the health department will contact you between 8 a.m. and 8 p.m., 7 days a week for further information and guidance. 
Individuals who are possibly exposed and not immune through vaccination or prior infection should exclude themselves from public settings for 21 days from the date of their potential exposure.? LINK: https://redcap.link/MeaslesWeatherford",Oklahoma State Department of Health,https://oklahoma.gov/health/health-education/acute-disease-service/rash-illness/measles.html,Business,2025-04-13T04:00:00Z,NA,NA,9,M,100,"1200 Childrens Ave, Oklahoma City, Oklahoma, 73104",PointAddress,"c(-10853368.1568, 4229485.3369)",9
Gallatin,The times listed include the period of exposure and two hours after (measles can stay in the air for up to 2 hours after the infected person leaves the area).,2025-04-11T04:00:00Z,7:30am–10:30am,North Coast Electric,7401 Shedhorn Drive,Bozeman,MT,59718," If you were at a location at any time during the times listed and have not been contacted by the health department, please call us at 406-582-3100. 
You are considered immune to measles if:
You received TWO doses of measles-containing vaccine, and you are:
A school-aged child (grades K-12)
An adult who will be in a setting that poses a high-risk for measles transmission, including students at post-high school education institutions, healthcare personnel and international travelers.
You received ONE dose of measles-containing vaccine, and you are:
A preschool-aged child
An adult who will not be in a high-risk setting for measles transmission
A laboratory confirmation that you had measles at some point in your life.
A laboratory confirmation that you are immune to measles.
You were born before 1957.
From the time someone is exposed, it typically takes 11–12 days for the first measles symptoms to appear, with a range of 7-21 days. After initial symptoms, a rash follows 2–4 days later and usually lasts 5–6 days. Measles is infectious 4 days before and 4 days after rash onset.

For information on the vaccine and how you can find out if you are immunized, scroll down to our FAQ. Call us to get a measles vaccine! 406-582-3100",Healthy Gallatin,https://www.healthygallatin.org/community-health/communicable-diseases/measles/?utm_source=substack&utm_medium=email,Workplace/Warehouse,2025-05-02T04:00:00Z,NA,NA,10,M,100,"7401 Shedhorn Dr, Bozeman, Montana, 59718",StreetAddress,"c(-12376892.2476, 5728480.3222)",10
