mmwr_week_start,cases
2024-12-29,0
2025-01-05,0
2025-01-12,2
2025-01-19,3
2025-01-26,2
2025-02-02,6
2025-02-09,46
2025-02-16,44
2025-02-23,62
2025-03-02,40
2025-03-09,66
2025-03-16,206
2025-03-23,12
2025-03-30,148
2025-04-06,101
2025-04-13,85
2025-04-20,71
2025-04-27,69
2025-05-04,55
2025-05-11,29
2025-05-18,35
2025-05-25,44
2025-06-01,42
2025-06-08,27
2025-06-15,23
2025-06-22,28
2025-06-29,35
2025-07-06,16
2025-07-13,14
2025-07-20,13
2025-07-27,22
2025-08-03,6
2025-08-10,15
2025-08-17,19
2025-08-24,15
2025-08-31,0
